,Person,<=10,10-20,20-30,30-40,40-50,50-60,60-70,70+
331,523,,0.1081,,0.358866667,0.23855,0.645666667,0.507466667,0.660333333
332,328,,,,0.292266667,0.31905,0.245406667,0.515653333,0.47398
333,90,,,,0.566616667,0.449066667,0.4499,,0.3946
334,206,,,,,,,0.323433333,0.398333333
335,150,,0.316233333,0.489761111,0.272663889,0.4324,,,
336,433,,,0.0105,0.500333333,0.216883333,0.526316667,0.2278,0.5883
337,22,,,,0.388519048,0.482709524,0.424642857,0.205366667,0.54175
338,329,,,0.324442857,0.419771429,0.41687619,0.514433333,,
339,173,,,,0.3559,0.3009,0.3697,0.2401,0.0916
340,327,,,,0.311966667,0.287333333,,0.1196,0.053
341,545,,0.2458,0.340795238,0.287693333,,,,
342,286,,,,,0.37312381,0.400606667,0.431725,
343,81,,0.25707,0.268733333,0.130966667,0.3144,0.328266667,0.392904762,
344,75,,0.2291,0.36282,0.44918,0.279233333,0.406880952,0.30712,
345,508,,,,0.29045,0.2225,0.311566667,0.612485714,
346,473,,0.2722,0.41155,0.497058333,0.451133333,0.451710714,0.432971429,0.404516667
347,167,,,,,,,0.239866667,0.5962
348,209,,0.2438,,,,0.4279,0.35335,0.284
349,236,,,0.500433333,0.283280556,0.1464,0.2006,0.1297,0.372491209
350,141,,,0.383614286,0.370552778,0.388066667,0.482164286,0.4306,
351,366,,,0.2996,0.203516667,,,,
352,437,,0.2386,0.145633333,0.232933333,0.33379,0.46306,0.485353333,0.615
353,87,,,0.346033333,0.6363,0.0448,0.4773,,0.4058
354,472,,0.39873,0.365637778,0.335257143,0.49945,,,
355,244,0.248666667,0.220690476,0.21767,0.1729,0.3342,0.30468,0.42103,
356,230,,0.3679,0.251032143,0.29986,0.266273333,0.33563,,
357,370,,0.42015,0.437295238,0.40083,0.398913333,0.362433333,,
358,322,,,0.233110714,0.1111,,,,
359,350,,,,0.518992857,0.431262222,0.5548,,
360,465,,,0.474933333,0.30442,0.375033333,0.166866667,0.418833333,0.504486667
361,114,,,,,0.257173333,0.351633333,0.352826667,
362,242,,,0.491866667,0.438242857,0.372095238,0.617696429,0.4866,
363,299,,0.399133333,0.356516667,0.30835,0.28537,,,
364,461,,,0.423433333,0.4412,0.481286667,0.51222,0.2451,0.3319
365,447,,,,,0.219461905,0.266266667,0.14055,0.202390476
366,509,,,0.40105,0.284732143,0.273413333,,,
367,486,,,,,,0.3877,0.545266667,
368,414,,,,,0.431916667,0.54108,0.6849,
369,319,,,0.45125,0.355219048,0.2449,0.395657143,,
370,195,,,0.256473333,0.255375,0.26372381,0.498466667,0.513755556,0.417333333
371,476,,,0.232083333,0.161983333,0.209033333,,0.472733333,
372,128,0.5309,0.33542,0.32261,,,0.4556,0.45723,0.541684848
373,435,,0.5405,0.3262,0.34504,0.3665,0.2263,0.5365,0.5987
374,335,,,0.125266667,0.357513333,0.276371429,0.22754,0.2368,
375,421,,0.5609,0.39128,0.47166,0.40312381,0.415033333,0.6509,0.55466
376,221,,,0.1913,0.240627778,0.343,0.2622,0.349628571,0.361308889
377,544,,,0.186,0.2572,0.189883333,0.223453333,0.273262222,0.327590476
378,507,,,0.28434,0.329391667,0.339153333,0.318566667,0.44393,
379,54,,,0.492246667,0.32974,0.393733333,0.2221,,0.4692
380,93,,,,0.362055556,0.33153,0.321,0.5236,0.37107
381,61,,,,0.2338,0.3656,0.327552778,0.479,
382,333,,0.22505,0.38015,0.491066667,0.431766667,0.5164,0.3284,0.547916667
383,389,,,0.323935714,0.267066667,0.36434,0.393778571,0.326319048,
384,334,,,0.381833333,0.392566667,,0.5256,0.20865,0.39526
385,23,,,0.456407143,0.377266667,0.406933333,0.403806667,0.572753571,0.520105556
386,24,,0.160733333,,,0.508266667,0.539260714,,
387,466,,,,0.537171429,0.27948,0.428066667,0.4698,
388,47,,0.3423,0.402571429,0.377733333,0.439106667,0.221,0.4383,
389,369,,,0.272984444,0.2957,0.0752,0.26421,,
390,496,,0.477366667,0.440488889,0.446425,0.416933333,0.2919,,
391,490,,0.006,0.201933333,0.30397,,,,
392,534,,,0.25551,0.441006667,0.315803571,0.370390476,0.611966667,
393,232,,,0.29824,0.337433333,,,0.670966667,0.443811111
394,372,,0.4877,0.380075,0.360833333,,,,0.382480952
395,419,,,,,,0.219566667,,0.43088
396,111,,,,0.429471429,0.425868889,0.400342857,0.2841,0.345533333
397,131,,,0.323819048,0.388321429,0.5859,0.611138889,0.456666667,
398,425,,0.3469,0.31104,0.468566667,,,0.258666667,
399,222,,,,0.29412,0.320089286,0.3265,,
400,34,,,0.401806667,0.167175,0.177283333,0.239466667,0.354313333,
401,455,,,0.42424,0.448466667,0.46105,0.1529,,
402,52,,,0.534933333,0.4521,0.428183333,,,0.346166667
403,35,,0.289226667,0.352580556,0.290873333,0.630966667,0.47166,0.492533333,0.50888
404,307,,,0.3166,0.277960714,0.3565,0.168466667,,0.4475
405,18,,,0.337427778,0.308536111,0.189783333,0.276526667,,
406,313,,,0.417,0.39829,0.453142857,0.579166667,,
407,290,,,,0.307964444,0.22308,0.360314286,0.5796,
408,27,,0.179166667,0.129033333,0.2169,0.33466,0.400244444,0.5415,
409,527,,,0.37605,0.297706667,0.243842857,0.530753333,0.452307143,
410,526,,,0.32818,0.3821,0.398880556,,,
411,154,,,,0.4769,0.29732,0.361382222,0.3183,0.433887912
412,182,,,0.273166667,0.437528571,0.52726,0.315553333,0.360904762,0.502461818
